run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw,geko_cmix,geko_cjet
alpha1.0_Re2800_Csep0.7742_Cnw0.3542_Cmix0.1214_Cjet0.4336,optimizer,2.317958328,15.3563,true,0.7742332739,0.3541538991,0.1213642188,0.433560502
alpha1.0_Re2800_Csep1.4211_Cnw2_Cmix0.3819_Cjet0,optimizer,3.605212533,16.2647,true,1.421119383,2,0.3818819761,0
alpha1.0_Re2800_Csep0.8562_Cnw0.4779_Cmix0.0456_Cjet1.2,optimizer,2.121889026,16.7931,true,0.8562267955,0.4779001426,0.04562197686,1.2
alpha1.0_Re2800_Csep0.8598_Cnw0.4783_Cmix0.0502_Cjet1.1598,optimizer,2.113844766,16.7511,true,0.8597805236,0.4782915462,0.05021693143,1.159844118
alpha1.0_Re2800_Csep0.8801_Cnw0.5069_Cmix0.065_Cjet1.0883,optimizer,2.099514893,16.2216,true,0.8800611976,0.5069110591,0.06498502139,1.088291888
alpha1.0_Re2800_Csep0.9035_Cnw0.5309_Cmix0.0707_Cjet1.0239,optimizer,2.111001894,16.6470,true,0.9034705272,0.5309174006,0.07067955357,1.023853712
alpha1.0_Re2800_Csep0.8731_Cnw0.5329_Cmix0.1009_Cjet1.0624,optimizer,2.109293735,16.0889,true,0.87313695,0.532852419,0.1008758845,1.062376244
alpha1.0_Re2800_Csep0.8903_Cnw0.5771_Cmix0.0559_Cjet1.076,optimizer,2.130185573,16.5066,true,0.8902639896,0.5771453035,0.05588210128,1.075955812
alpha1.0_Re2800_Csep0.8822_Cnw0.4438_Cmix0.0677_Cjet1.0687,optimizer,2.124541311,16.2418,true,0.8821519382,0.4437598246,0.06767554983,1.068664709
alpha1.0_Re2800_Csep0.9387_Cnw0.5584_Cmix0.098_Cjet0.9646,optimizer,2.16427213,16.4137,true,0.9387456348,0.5584401373,0.09801898652,0.964594977
alpha1.0_Re2800_Csep0.7_Cnw0.0023_Cmix-0.2_Cjet0,optimizer,2.678356997,17.4745,true,0.7,0.00226285924,-0.2,0
alpha1.0_Re2800_Csep1.0821_Cnw0.3716_Cmix0.1656_Cjet0,optimizer,2.687055277,15.9386,true,1.082110225,0.3715945241,0.1656101353,0
alpha1.0_Re2800_Csep1.301_Cnw0.5677_Cmix0.3157_Cjet0.339,optimizer,2.771055702,16.2254,true,1.301019045,0.5676560527,0.3156535762,0.3390497219
alpha1.0_Re2800_Csep0.8106_Cnw0.4738_Cmix0.498_Cjet0.9586,optimizer,2.202971793,14.8379,true,0.810611072,0.4737590908,0.4979641409,0.9585840836
alpha1.0_Re2800_Csep0.7_Cnw0.3681_Cmix0.7227_Cjet0.9216,optimizer,2.468677953,14.3949,true,0.7,0.3681426728,0.7226580264,0.9216258963
alpha1.0_Re2800_Csep0.7_Cnw-0.1796_Cmix1_Cjet0.8538,optimizer,2.723353064,13.9640,true,0.7,-0.1796419224,1,0.8537727996
alpha1.0_Re2800_Csep0.7_Cnw0.014_Cmix0.1057_Cjet0.1789,optimizer,2.607236259,14.4433,true,0.7,0.0139566921,0.10574798,0.1789027849
alpha1.0_Re2800_Csep0.7_Cnw-0.0904_Cmix1_Cjet0.39,optimizer,2.808929061,13.6979,true,0.7,-0.09041947996,1,0.3899705509
alpha1.0_Re2800_Csep2.5_Cnw2_Cmix0.4285_Cjet0.6315,optimizer,4.463844559,15.9908,true,2.5,2,0.4284949544,0.6315268345
alpha1.0_Re2800_Csep0.882_Cnw0.5094_Cmix0.0829_Cjet1.1081,optimizer,2.110254757,16.3834,true,0.8819715449,0.5094171386,0.08294431427,1.108098451
alpha1.0_Re2800_Csep0.8609_Cnw0.5313_Cmix0.0738_Cjet1.016,optimizer,2.088084697,16.2435,true,0.8608833996,0.5312875159,0.07381604036,1.016017743
alpha1.0_Re2800_Csep0.7_Cnw-2_Cmix-0.2_Cjet0.6005,optimizer,3.700517267,16.8573,true,0.7,-2,-0.2,0.6005116106
alpha1.0_Re2800_Csep0.9218_Cnw0.6292_Cmix0.0956_Cjet0.4898,optimizer,2.289854703,16.2870,true,0.9218497323,0.6291930015,0.09562207305,0.4898370958
alpha1.0_Re2800_Csep0.8609_Cnw0.5209_Cmix0.0525_Cjet0.9702,optimizer,2.081792003,16.3182,true,0.860949929,0.5209230952,0.05252663795,0.970222469
